01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Âmbito Geográfico,05. Indicador,06. Escala,07. Símbolo,08. Valor
1960,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.6
1960,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.3
1960,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.6
1960,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.2
1960,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.4
1960,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.0
1960,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1960,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1960,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.6
1960,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.9
1960,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1960,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.6
1960,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.4
1960,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.7
1960,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1960,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.2
1960,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.2
1960,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,37.4
1960,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,22.5
1960,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1960,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1960,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.9
1960,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1960,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.1
1960,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.4
1960,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.8
1960,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1960,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.0
1961,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.6
1961,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.4
1961,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.7
1961,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.8
1961,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.6
1961,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.2
1961,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1961,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1961,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.8
1961,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.8
1961,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1961,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1961,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.8
1961,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.6
1961,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1961,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,40.5
1961,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.3
1961,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,37.7
1961,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,22.9
1961,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1961,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1961,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.0
1961,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1961,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.3
1961,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1961,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.6
1961,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1961,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.1
1962,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.6
1962,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.6
1962,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.9
1962,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.3
1962,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.4
1962,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.2
1962,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1962,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1962,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.8
1962,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.3
1962,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1962,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.1
1962,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.1
1962,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.8
1962,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1962,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.9
1962,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.4
1962,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,37.6
1962,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,22.7
1962,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1962,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1962,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1962,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1962,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.6
1962,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1962,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.6
1962,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1962,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.4
1963,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.9
1963,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.7
1963,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.9
1963,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.1
1963,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.7
1963,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.8
1963,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1963,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1963,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.8
1963,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.6
1963,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1963,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.1
1963,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.9
1963,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.7
1963,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1963,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,39.0
1963,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.1
1963,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,37.5
1963,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,22.9
1963,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1963,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1963,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1963,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1963,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.7
1963,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1963,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.6
1963,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1963,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.5
1964,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.6
1964,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.5
1964,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.9
1964,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.9
1964,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.1
1964,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.7
1964,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1964,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1964,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.9
1964,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.6
1964,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1964,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.1
1964,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.3
1964,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.7
1964,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1964,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.4
1964,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.2
1964,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,37.3
1964,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,23.1
1964,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1964,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1964,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1964,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1964,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.9
1964,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1964,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.9
1964,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1964,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.6
1965,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.4
1965,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.6
1965,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.9
1965,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.9
1965,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.9
1965,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.6
1965,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1965,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1965,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.9
1965,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.2
1965,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1965,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.1
1965,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.5
1965,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.5
1965,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1965,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,39.1
1965,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.1
1965,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,37.1
1965,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,23.2
1965,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1965,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1965,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,20.7
1965,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1965,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.1
1965,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.0
1965,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.6
1965,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1965,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.7
1966,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.7
1966,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.4
1966,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.5
1966,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.7
1966,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.6
1966,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.2
1966,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1966,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1966,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.9
1966,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.3
1966,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1966,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.1
1966,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.5
1966,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.1
1966,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1966,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.3
1966,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.3
1966,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.9
1966,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,22.8
1966,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1966,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1966,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1966,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1966,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.3
1966,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1966,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.4
1966,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1966,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.8
1967,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.7
1967,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.3
1967,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.5
1967,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.6
1967,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.0
1967,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.1
1967,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1967,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1967,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.9
1967,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,28.9
1967,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1967,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.1
1967,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.5
1967,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.9
1967,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1967,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,38.6
1967,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.1
1967,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.7
1967,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,22.9
1967,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1967,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1967,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,20.7
1967,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1967,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.5
1967,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1967,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.7
1967,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1967,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.0
1968,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.6
1968,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.2
1968,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.2
1968,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.4
1968,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.1
1968,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.8
1968,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1968,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1968,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.0
1968,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,28.6
1968,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1968,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.1
1968,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.5
1968,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.5
1968,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1968,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.4
1968,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.0
1968,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.6
1968,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,22.7
1968,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1968,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1968,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.8
1968,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1968,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.6
1968,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1968,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.7
1968,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.4
1968,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.8
1969,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.4
1969,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.1
1969,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.2
1969,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.4
1969,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.1
1969,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.7
1969,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1969,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1969,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.2
1969,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,28.7
1969,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1969,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.1
1969,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.2
1969,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.2
1969,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1969,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.7
1969,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.1
1969,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.5
1969,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,22.6
1969,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1969,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1969,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.0
1969,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1969,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.9
1969,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1969,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.6
1969,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.3
1969,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.9
1970,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.8
1970,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.0
1970,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.3
1970,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.3
1970,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.7
1970,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.8
1970,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1970,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1970,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.6
1970,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,28.9
1970,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1970,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.8
1970,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.8
1970,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.1
1970,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1970,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.1
1970,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.4
1970,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.3
1970,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,22.1
1970,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.6
1970,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.3
1970,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,24.1
1970,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1970,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.0
1970,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,28.9
1970,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.4
1970,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.0
1970,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.0
1971,,Portugal,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.2
1971,Alemanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.1
1971,Áustria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.4
1971,Bélgica,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.3
1971,Bulgária,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.3
1971,Chéquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.7
1971,Chipre,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1971,Croácia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1971,Dinamarca,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.0
1971,Eslováquia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,28.7
1971,Eslovénia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1971,Espanha,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.7
1971,Estónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,34.9
1971,Finlândia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.3
1971,França,,,Índice de longevidade, com 75 e mais anos por 100 idosos,x,
1971,Grécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.2
1971,Hungria,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,30.7
1971,Irlanda,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.3
1971,Itália,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,21.7
1971,Letónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,35.2
1971,Lituânia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,33.6
1971,Luxemburgo,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,31.4
1971,Malta,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1971,Países Baixos,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.2
1971,Polónia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,0.0
1971,Portugal,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,32.8
1971,Roménia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,29.1
1971,Suécia,,,Índice de longevidade, com 75 e mais anos por 100 idosos,,36.3
